"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","score_TRI","score_ORTH","score_SATISFICE","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_BOTH","score_ABS","score_niceABS","score_TVERSKY","tv_type","top_score","top_type","range","interpretation","score_SCALED"
"S4T2X","121","winter22","asynch","Which shift(s) begin when C ends?",3,"X",FALSE,29.509,1,-0.0769230769230769,NA,-0.0909090909090909,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,-0.0714285714285714,0,0,-0.0769230769230769,"score_TV_start",-0.0769230769230769,"score_TRI",0.013986013986014,"?",0
"S4T2X","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"F",FALSE,34.133,1,-0.0714285714285714,NA,0.5,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",0.5,"score_SATISFICE",0.571428571428571,"Satisfice",-0.5
"S4T2X","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,14.12,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"86P6B","111","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,105.075,1,1,-0.0833333333333333,NA,0.5,1,-0.0714285714285714,NA,NA,0.5,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"Triangular",1
"86P6B","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,40.47,1,1,-0.0833333333333333,NA,0.25,0.5,-0.0769230769230769,-0.0769230769230769,0,0.5,1,1,0.5,"score_TV_start",1,"score_TRI",1.08333333333333,"?",0
"86P6B","111","winter22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,10.697,1,1,0,NA,0.166666666666667,-0.0833333333333333,1,-0.0909090909090909,0,0.5,1,1,1,"score_TV_end",1,"score_TRI",1,"?",0
"86P6B","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,11.788,1,1,-0.0833333333333333,NA,0.5,-0.0714285714285714,1,NA,NA,0.5,1,1,1,"score_TV_end",1,"score_TRI",1.08333333333333,"Triangular",1
"86P6B","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,106.12,1,1,-0.0769230769230769,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0.5,1,1,-0.0769230769230769,"score_TV_start",1,"score_TRI",1.07692307692308,"?",0
"WZFMC","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,13.045,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"WZFMC","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,9.786,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"WZFMC","111","winter22","asynch","Which shift(s) begin when C ends?",3,"ABU",FALSE,40.624,3,-0.25,-0.3,NA,0.5,-0.25,-0.25,1,0,-0.230769230769231,0,0,1,"score_TV_duration",1,"score_TVERSKY",1.3,"?",0
"WZFMC","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"",FALSE,29.013,0,0,0,NA,0,0,0,NA,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"WZFMC","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,17.116,1,1,-0.0769230769230769,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0.5,1,1,-0.0769230769230769,"score_TV_start",1,"score_TRI",1.07692307692308,"?",0
"E0F55","121","winter22","asynch","Which shift(s) start at 11 am?",1,"",FALSE,28.383,0,0,NA,0,0,0,0,NA,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"E0F55","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"G",FALSE,21.853,1,-0.0833333333333333,NA,1,-0.1,-0.0833333333333333,-0.0769230769230769,-0.0769230769230769,0,-0.0714285714285714,0,0,-0.0769230769230769,"score_TV_end",1,"score_SATISFICE",1.08333333333333,"?",0
"E0F55","121","winter22","asynch","Which shift(s) begin when C ends?",3,"J",FALSE,55.635,1,1,NA,-0.0909090909090909,0.5,1,NA,-0.0769230769230769,0,1,0,1,1,"score_TV_start",1,"score_TRI",1.09090909090909,"both tri + orth",0
"E0F55","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"D",FALSE,17.764,1,-0.0714285714285714,NA,-0.0769230769230769,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",-0.0714285714285714,"score_TRI",0.0054945054945055,"?",0
"E0F55","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"",FALSE,51.313,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"NDBCA","121","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,46.314,1,1,NA,-0.0833333333333333,0.5,1,-0.0714285714285714,NA,NA,1,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"both tri + orth",0
"NDBCA","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,10.82,1,1,NA,-0.0769230769230769,0.333333333333333,1,-0.0769230769230769,-0.0769230769230769,0,1,1,1,1,"score_TV_start",1,"score_TRI",1.07692307692308,"both tri + orth",0
"NDBCA","121","winter22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,20.121,1,-0.0769230769230769,NA,0.333333333333333,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,-0.0714285714285714,1,0,-0.0769230769230769,"score_TV_start",0.333333333333333,"score_SATISFICE",0.41025641025641,"?",0
"NDBCA","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,120.613,1,1,NA,-0.0769230769230769,0.5,-0.0714285714285714,1,NA,NA,1,1,1,1,"score_TV_end",1,"score_TRI",1.07692307692308,"both tri + orth",0
"NDBCA","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"C",FALSE,201.729,1,-0.0769230769230769,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,-0.0714285714285714,0,0,-0.0833333333333333,"score_TV_max",-0.0769230769230769,"score_TRI",0.0064102564102564,"?",0
"BDQEZ","121","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,61.51,1,1,NA,-0.0833333333333333,0.5,1,-0.0714285714285714,NA,NA,1,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"both tri + orth",0
"BDQEZ","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,7.718,1,1,NA,-0.0769230769230769,0.333333333333333,1,-0.0769230769230769,-0.0769230769230769,0,1,1,1,1,"score_TV_start",1,"score_TRI",1.07692307692308,"both tri + orth",0
"BDQEZ","121","winter22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,12.057,1,-0.0769230769230769,NA,0.333333333333333,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,-0.0714285714285714,1,0,-0.0769230769230769,"score_TV_start",0.333333333333333,"score_SATISFICE",0.41025641025641,"?",0
"BDQEZ","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,7.266,1,1,NA,-0.0769230769230769,0.5,-0.0714285714285714,1,NA,NA,1,1,1,1,"score_TV_end",1,"score_TRI",1.07692307692308,"both tri + orth",0
"BDQEZ","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,16.521,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"ZDA7B","121","winter22","asynch","Which shift(s) start at 11 am?",1,"",FALSE,57.08,0,0,NA,0,0,0,0,NA,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"ZDA7B","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"J",FALSE,37.488,1,-0.0833333333333333,NA,-0.0769230769230769,0.333333333333333,-0.0833333333333333,-0.0769230769230769,1,0,-0.0714285714285714,0,0,1,"score_TV_duration",1,"score_TVERSKY",1.08333333333333,"?",0
"ZDA7B","121","winter22","asynch","Which shift(s) begin when C ends?",3,"",FALSE,32.128,0,0,NA,0,0,0,NA,0,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"ZDA7B","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"F",FALSE,65.784,1,-0.0714285714285714,NA,0.5,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",0.5,"score_SATISFICE",0.571428571428571,"Satisfice",-0.5
"ZDA7B","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"K",FALSE,28.997,1,-0.0769230769230769,NA,1,-0.0833333333333333,-0.0833333333333333,NA,NA,0,-0.0714285714285714,0,0,-0.0833333333333333,"score_TV_max",1,"score_SATISFICE",1.08333333333333,"?",0
"KGNC3","121","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,23.583,1,1,NA,-0.0833333333333333,0.5,1,-0.0714285714285714,NA,NA,1,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"both tri + orth",0
"KGNC3","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,6.086,1,1,NA,-0.0769230769230769,0.333333333333333,1,-0.0769230769230769,-0.0769230769230769,0,1,1,1,1,"score_TV_start",1,"score_TRI",1.07692307692308,"both tri + orth",0
"KGNC3","121","winter22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,22.599,1,-0.0769230769230769,NA,0.333333333333333,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,-0.0714285714285714,1,0,-0.0769230769230769,"score_TV_start",0.333333333333333,"score_SATISFICE",0.41025641025641,"?",0
"KGNC3","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"B",FALSE,48.797,1,-0.0714285714285714,NA,-0.0769230769230769,0.5,1,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,1,"score_TV_start",1,"score_TVERSKY",1.07692307692308,"Tversky",0.5
"KGNC3","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,170.42,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"HV8ZE","121","winter22","asynch","Which shift(s) start at 11 am?",1,"O",FALSE,46.571,1,-0.0714285714285714,NA,0.333333333333333,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",0.333333333333333,"score_SATISFICE",0.404761904761905,"?",0
"HV8ZE","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"J",FALSE,13.487,1,-0.0833333333333333,NA,-0.0769230769230769,0.333333333333333,-0.0833333333333333,-0.0769230769230769,1,0,-0.0714285714285714,0,0,1,"score_TV_duration",1,"score_TVERSKY",1.08333333333333,"?",0
"HV8ZE","121","winter22","asynch","Which shift(s) begin when C ends?",3,"K",FALSE,36.85,1,-0.0769230769230769,NA,-0.0909090909090909,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,-0.0714285714285714,0,0,-0.0769230769230769,"score_TV_start",-0.0769230769230769,"score_TRI",0.013986013986014,"?",0
"HV8ZE","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"BH",FALSE,16.101,2,0.928571428571429,NA,-0.153846153846154,1,0.928571428571429,0.928571428571429,NA,0,0.928571428571429,0,0,1,"score_TV_max",1,"score_TVERSKY",1.15384615384615,"?",0
"HV8ZE","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"AFG",FALSE,36.092,3,0.846153846153846,NA,-0.230769230769231,-0.25,-0.25,NA,NA,0,0.857142857142857,0,0,-0.25,"score_TV_max",0.846153846153846,"score_TRI",1.09615384615385,"?",0
"G5HED","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,47.798,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"G5HED","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,16.193,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"G5HED","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,7.798,1,0,1,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0.5,0,0,0,"score_TV_end",1,"score_ORTH",1,"?",0
"G5HED","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,63.877,1,-0.0714285714285714,1,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_start",1,"score_ORTH",1.07142857142857,"Orthogonal",-1
"G5HED","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,42.596,1,-0.0909090909090909,1,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0.5,0,0,0.5,"score_TV_end",1,"score_ORTH",1.09090909090909,"?",0
"V9JKJ","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,12.97,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"V9JKJ","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,16.968,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"V9JKJ","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,16.108,1,0,1,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0.5,0,0,0,"score_TV_end",1,"score_ORTH",1,"?",0
"V9JKJ","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,23.599,1,-0.0714285714285714,1,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_start",1,"score_ORTH",1.07142857142857,"Orthogonal",-1
"V9JKJ","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,190.377,1,-0.0909090909090909,1,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0.5,0,0,0.5,"score_TV_end",1,"score_ORTH",1.09090909090909,"?",0
"4YF1J","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,12.789,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"4YF1J","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,7.196,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"4YF1J","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,9.276,1,0,1,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0.5,0,0,0,"score_TV_end",1,"score_ORTH",1,"?",0
"4YF1J","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"DE",FALSE,6.729,2,-0.142857142857143,-0.166666666666667,NA,-0.153846153846154,-0.142857142857143,-0.142857142857143,NA,0,-0.153846153846154,0,0,-0.142857142857143,"score_TV_start",-0.142857142857143,"score_TRI",0.0238095238095238,"?",0
"4YF1J","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,15.001,1,1,-0.0769230769230769,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0.5,1,1,-0.0769230769230769,"score_TV_start",1,"score_TRI",1.07692307692308,"?",0
"5QAJA","121","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,51.312,1,1,NA,-0.0833333333333333,0.5,1,-0.0714285714285714,NA,NA,1,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"both tri + orth",0
"5QAJA","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,38.319,1,1,NA,-0.0769230769230769,0.333333333333333,1,-0.0769230769230769,-0.0769230769230769,0,1,1,1,1,"score_TV_start",1,"score_TRI",1.07692307692308,"both tri + orth",0
"5QAJA","121","winter22","asynch","Which shift(s) begin when C ends?",3,"AH",FALSE,28.028,2,-0.153846153846154,NA,0.242424242424242,-0.166666666666667,-0.153846153846154,NA,-0.153846153846154,0,-0.142857142857143,0,0,-0.153846153846154,"score_TV_start",0.242424242424242,"score_SATISFICE",0.396270396270396,"?",0
"5QAJA","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"D",FALSE,20.705,1,-0.0714285714285714,NA,-0.0769230769230769,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",-0.0714285714285714,"score_TRI",0.0054945054945055,"?",0
"5QAJA","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"ACDEFHIJKOUXZ",FALSE,81.65,13,0.153846153846154,NA,0.153846153846154,0.166666666666667,0.166666666666667,NA,NA,0,0.142857142857143,0,0,0.166666666666667,"score_TV_max",0.166666666666667,"score_TVERSKY",0.0128205128205128,"frenzy",0
"04YXZ","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,38.809,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"04YXZ","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,10.647,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"04YXZ","111","winter22","asynch","Which shift(s) begin when C ends?",3,"ABU",FALSE,53.555,3,-0.25,-0.3,NA,0.5,-0.25,-0.25,1,0,-0.230769230769231,0,0,1,"score_TV_duration",1,"score_TVERSKY",1.3,"?",0
"04YXZ","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"DE",FALSE,13.08,2,-0.142857142857143,-0.166666666666667,NA,-0.153846153846154,-0.142857142857143,-0.142857142857143,NA,0,-0.153846153846154,0,0,-0.142857142857143,"score_TV_start",-0.142857142857143,"score_TRI",0.0238095238095238,"?",0
"04YXZ","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"KO",FALSE,61.336,2,0.909090909090909,-0.153846153846154,NA,-0.142857142857143,-0.153846153846154,-0.166666666666667,NA,0,0.423076923076923,0,0,-0.142857142857143,"score_TV_max",0.909090909090909,"score_TRI",1.06293706293706,"?",0
"SKPWA","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,25.048,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"SKPWA","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,8.395,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"SKPWA","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,36.93,1,0,1,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0.5,0,0,0,"score_TV_end",1,"score_ORTH",1,"?",0
"SKPWA","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,49.176,1,-0.0714285714285714,1,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_start",1,"score_ORTH",1.07142857142857,"Orthogonal",-1
"SKPWA","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,74.351,1,-0.0909090909090909,1,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0.5,0,0,0.5,"score_TV_end",1,"score_ORTH",1.09090909090909,"?",0
"76UV0","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,47.317,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"76UV0","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,24.295,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"76UV0","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,17.214,1,0,1,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0.5,0,0,0,"score_TV_end",1,"score_ORTH",1,"?",0
