"subject","condition","pretty_condition","study","term","mode","q","question","correct","rt_s","response","num_o","ROTATION","SHAPE"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",TRUE,13.909,"EG",2,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",TRUE,36.692,"OX",2,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",FALSE,91.202,"CFGO",4,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",FALSE,54.229,"M",1,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",TRUE,20.734,"E",1,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",TRUE,9.769,"LM",2,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",TRUE,8.412,"G",1,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",FALSE,17.058,"HN",2,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",TRUE,11.693,"X",1,"45","TRI"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",TRUE,21.337,"KX",2,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",FALSE,44.755,"AO",2,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",TRUE,30.376,"K",1,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",TRUE,19.072,"F",1,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",TRUE,44.691,"H",1,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",FALSE,23.564,"U",1,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",TRUE,11.584,"EG",2,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",TRUE,46.921,"OX",2,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",FALSE,55.287,"AGK",3,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",FALSE,27.516,"E",1,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",TRUE,8.409,"E",1,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",TRUE,13.472,"LM",2,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",TRUE,11.201,"G",1,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",TRUE,17.717,"EF",2,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",TRUE,11.25,"X",1,"45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",FALSE,39.59,"CG",2,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",TRUE,20.491,"F",1,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",TRUE,11.1,"K",1,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",FALSE,27.034,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",FALSE,7.431,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",FALSE,0.557,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",FALSE,1.448,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",FALSE,0.473,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",FALSE,0.401,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",FALSE,0.364,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",FALSE,0.439,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",FALSE,0.62,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",FALSE,0.458,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",FALSE,0.483,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",FALSE,0.516,"",0,"45","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",FALSE,0.524,"",0,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",FALSE,48.017,"CF",2,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",FALSE,33.806,"AK",2,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",TRUE,36.195,"F",1,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",TRUE,11.687,"H",1,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",TRUE,116.931,"O",1,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",TRUE,16.257,"EG",2,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",TRUE,70.822,"OX",2,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",TRUE,68.545,"G",1,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",FALSE,33.059,"E",1,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",FALSE,11.908,"G",1,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",TRUE,9.163,"LM",2,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",TRUE,8.868,"G",1,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",TRUE,36.798,"EF",2,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",TRUE,12.127,"X",1,"45","TRI"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",TRUE,65.663,"KX",2,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",TRUE,24.266,"F",1,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",TRUE,16.862,"K",1,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",TRUE,18.967,"F",1,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",FALSE,74.824,"K",1,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",FALSE,30.593,"F",1,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",TRUE,6.114,"EG",2,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",TRUE,20.773,"OX",2,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",TRUE,54.244,"G",1,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",FALSE,75.834,"F",1,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",FALSE,54.496,"M",1,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",TRUE,10.532,"LM",2,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",TRUE,10.295,"G",1,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",TRUE,57.491,"EF",2,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",FALSE,65.693,"EX",2,"45","TRI"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",FALSE,38.577,"CX",2,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",FALSE,8.915,"A",1,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",FALSE,7.601,"E",1,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",FALSE,18.494,"Z",1,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",FALSE,49.818,"HU",2,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",FALSE,64.651,"U",1,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",TRUE,8.536,"EG",2,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",FALSE,25.239,"BF",2,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",FALSE,24.384,"E",1,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",TRUE,17.064,"I",1,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",FALSE,35.91,"X",1,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",FALSE,22.482,"BF",2,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",FALSE,5.61,"B",1,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",FALSE,17.583,"FX",2,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",FALSE,26.189,"B",1,"45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",FALSE,78.782,"EF",2,"45","TRI"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",TRUE,24.718,"F",1,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",FALSE,34.723,"X",1,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",TRUE,26.32,"F",1,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",TRUE,52.801,"H",1,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",FALSE,77.412,"G",1,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",TRUE,11.707,"EG",2,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",FALSE,50.805,"BF",2,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",FALSE,95.235,"EG",2,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",TRUE,30.435,"I",1,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",FALSE,63.383,"C",1,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",TRUE,13.543,"LM",2,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",TRUE,12.744,"G",1,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",FALSE,91.449,"HK",2,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",FALSE,46.688,"F",1,"45","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",FALSE,67.518,"CH",2,"45","ORTH"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",TRUE,25.634,"F",1,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",TRUE,12.894,"K",1,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",TRUE,13.623,"F",1,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",TRUE,79.273,"H",1,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",TRUE,102.054,"O",1,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",6,"Which shift(s) are six hours long?",TRUE,11.537,"EG",2,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",7,"Which 2 shifts less than 5 hours long start at the same time?",TRUE,25.01,"OX",2,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",8,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",TRUE,84.692,"G",1,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",9,"Which shift(s) begins before J begins and ends during B?",TRUE,45.313,"I",1,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",10,"Which shift(s) end at the same time as F?",TRUE,81.562,"E",1,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",11,"Which shift(s) start at 12pm?",TRUE,13.44,"LM",2,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",12,"Which shift(s) start at the same time as F?",TRUE,6.491,"G",1,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",13,"Which 2 shifts end when Z begins?",TRUE,54.19,"EF",2,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",14,"Which shift(s) end at 3pm?",TRUE,91.506,"X",1,"45","TRI"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch",15,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",TRUE,112.715,"KX",2,"45","TRI"
"YS9FT","113112","TRI-45","SGC4C","summer22","asynch",1,"Which shift(s) start at 11 am?",TRUE,25.18,"F",1,"45","TRI"
"YS9FT","113112","TRI-45","SGC4C","summer22","asynch",2,"Which shift(s) start at the same time as D?",TRUE,15.473,"K",1,"45","TRI"
"YS9FT","113112","TRI-45","SGC4C","summer22","asynch",3,"Which shift(s) begin when C ends?",TRUE,12.58,"F",1,"45","TRI"
"YS9FT","113112","TRI-45","SGC4C","summer22","asynch",4,"Which shift(s) end at 4 pm?",TRUE,10.147,"H",1,"45","TRI"
"YS9FT","113112","TRI-45","SGC4C","summer22","asynch",5,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",FALSE,23.671,"U",1,"45","TRI"
