"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","SHAPE","SCALE","pretty_mode","IMPASSE","score_TRI","score_ORTH","score_BOTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","override","score_SCALED","score_STATE"
"2PQSA","113","winter22","asynch","Which shift(s) start at the same time as F?",12,"G",TRUE,8.346,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0625,0.5,NA,NA,0.5,1,NA,-0.0625,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular","",1,"tri-like"
"2PQSA","113","winter22","asynch","Which 2 shifts end when Z begins?",13,"EF",TRUE,21.308,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,0.433333333333333,0.666666666666667,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0.566666666666667,"Triangular","Triangular","triangular","",1,"tri-like"
"2PQSA","113","winter22","asynch","Which shift(s) end at 3pm?",14,"X",TRUE,7.781,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0588235294117647,0.5,NA,NA,0.25,NA,1,-0.0666666666666667,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.05882352941176,"Triangular","Triangular","triangular","",1,"tri-like"
"2PQSA","113","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"KX",TRUE,12.958,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.133333333333333,0.5,NA,NA,0.666666666666667,-0.117647058823529,NA,NA,0,1,1,0.666666666666667,"score_TV_max",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"PKTN1","113","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,24.046,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,7.19,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0833333333333333,1,0.5,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,31.756,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",0,1,0.5,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,69.579,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0714285714285714,1,0.5,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,63.739,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0909090909090909,1,0.5,NA,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0,0,0.5,"score_TV_end",NA,NA,1,"score_ORTH",1.09090909090909,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,8.075,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"PKTN1","113","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,12.887,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,27.113,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0666666666666667,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,42.567,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"PKTN1","113","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,89.386,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,9.08,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,4.816,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,27.597,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.433333333333333,1,0.666666666666667,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",0.566666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,28.146,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0588235294117647,1,0.5,NA,NA,-0.0714285714285714,NA,-0.0588235294117647,-0.0666666666666667,0,0,0,-0.0588235294117647,"score_TV_end",NA,NA,1,"score_ORTH",1.05882352941176,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"PKTN1","113","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"EF",FALSE,39.393,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,-0.133333333333333,-0.117647058823529,NA,NA,0,0,0,-0.117647058823529,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"O7C4V","113","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,28.154,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"O7C4V","113","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,12.223,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0833333333333333,1,0.5,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"O7C4V","113","winter22","asynch","Which shift(s) begin when C ends?",3,"JO",FALSE,109.802,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.166666666666667,-0.1,-0.153846153846154,NA,NA,0.333333333333333,1,-0.166666666666667,-0.181818181818182,0,0,0,1,"score_TV_start",NA,NA,1,"score_TVERSKY",1.16666666666667,"Tversky","Tversky","pos.trans","",0.5,"tri-like"
"O7C4V","113","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,90.621,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0833333333333333,0.5,NA,NA,0.5,-0.0714285714285714,1,NA,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"O7C4V","113","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,86.419,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0769230769230769,0.5,NA,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,1,1,-0.0769230769230769,"score_TV_start",NA,NA,1,"score_TRI",1.07692307692308,"Triangular","Triangular","triangular","",1,"tri-like"
"O7C4V","113","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,66.615,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"O7C4V","113","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"OX",TRUE,24.99,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.133333333333333,0.5,NA,NA,0.25,1,-0.142857142857143,-0.125,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"O7C4V","113","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"ABFGK",FALSE,129.421,5,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.8,-0.214285714285714,0.25,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0.8,"score_TRI",1.01428571428571,"frenzy","frenzy","neg.trans","",-0.5,"unknown"
"O7C4V","113","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"E",FALSE,55.872,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0666666666666667,-0.0666666666666667,-0.0588235294117647,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,-0.0666666666666667,"score_TRI",0,"?","?","neg.trans","",-0.5,"unknown"
"O7C4V","113","winter22","asynch","Which shift(s) end at the same time as F?",10,"E",TRUE,50.963,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0625,0.5,NA,NA,0.333333333333333,-0.0625,1,-0.0625,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular","",1,"tri-like"
"O7C4V","113","winter22","asynch","Which shift(s) start at 12pm?",11,"LM",TRUE,9.767,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.125,0.5,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",1.125,"Triangular","Triangular","triangular","",1,"tri-like"
"O7C4V","113","winter22","asynch","Which shift(s) start at the same time as F?",12,"G",TRUE,11.57,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0625,0.5,NA,NA,0.5,1,NA,-0.0625,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular","",1,"tri-like"
"O7C4V","113","winter22","asynch","Which 2 shifts end when Z begins?",13,"HN",FALSE,18.264,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.133333333333333,-0.133333333333333,-0.133333333333333,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,-0.133333333333333,"score_TRI",0,"?","?","neg.trans","",-0.5,"unknown"
"O7C4V","113","winter22","asynch","Which shift(s) end at 3pm?",14,"X",TRUE,10.323,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0588235294117647,0.5,NA,NA,0.25,NA,1,-0.0666666666666667,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.05882352941176,"Triangular","Triangular","triangular","",1,"tri-like"
"O7C4V","113","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"KX",TRUE,80.013,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.133333333333333,0.5,NA,NA,0.666666666666667,-0.117647058823529,NA,NA,0,1,1,0.666666666666667,"score_TV_max",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"4B6X2","113","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,29.285,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"4B6X2","113","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,16.252,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0833333333333333,1,0.5,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"4B6X2","113","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,19.435,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",0,1,0.5,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"4B6X2","113","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,287.855,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0714285714285714,1,0.5,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"4B6X2","113","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"H",FALSE,99.335,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,NA,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0,0,-0.0769230769230769,"score_TV_start",NA,NA,-0.0769230769230769,"score_TVERSKY",0.013986013986014,"?","?","neg.trans","",-0.5,"unknown"
"4B6X2","113","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,63.921,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"4B6X2","113","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,10.026,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"4B6X2","113","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"I",FALSE,13.695,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0666666666666667,-0.0714285714285714,-0.0625,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,-0.0666666666666667,"score_TRI",0.00476190476190476,"?","?","neg.trans","",-0.5,"unknown"
"4B6X2","113","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,43.1,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"4B6X2","113","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,57.059,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"4B6X2","113","winter22","asynch","Which shift(s) start at 12pm?",11,"M",FALSE,6.699,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.5,-0.0625,0.25,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0.5,"score_TRI",0.5625,"Triangular","Triangular","triangular","",1,"tri-like"
"4B6X2","113","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,4.71,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"4B6X2","113","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,16.546,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.433333333333333,1,0.666666666666667,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",0.566666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"4B6X2","113","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,14.404,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0588235294117647,1,0.5,NA,NA,-0.0714285714285714,NA,-0.0588235294117647,-0.0666666666666667,0,0,0,-0.0588235294117647,"score_TV_end",NA,NA,1,"score_ORTH",1.05882352941176,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"4B6X2","113","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"FX",FALSE,34.384,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.4375,0.433333333333333,0.5,NA,NA,0.266666666666667,-0.117647058823529,NA,NA,0,0,0,0.266666666666667,"score_TV_max",NA,NA,0.4375,"score_TRI",0.170833333333333,"?","?","neg.trans","",-0.5,"unknown"
"Y5NMS","113","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,17.175,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"Y5NMS","113","winter22","asynch","Which shift(s) start at the same time as D?",2,"J",FALSE,26.154,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0833333333333333,-0.0833333333333333,-0.0769230769230769,NA,NA,0.25,-0.0909090909090909,-0.0769230769230769,1,0,0,0,1,"score_TV_duration",NA,NA,1,"score_TVERSKY",1.08333333333333,"Tversky","Tversky","pos.trans","",0.5,"tri-like"
"Y5NMS","113","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,26.031,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",0,1,0.5,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"Y5NMS","113","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,39.828,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0714285714285714,1,0.5,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"Y5NMS","113","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,57.55,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0909090909090909,1,0.5,NA,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0,0,0.5,"score_TV_end",NA,NA,1,"score_ORTH",1.09090909090909,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"Y5NMS","113","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,10.651,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"Y5NMS","113","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,36.795,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"Y5NMS","113","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,27.11,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0666666666666667,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"Y5NMS","113","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,28.405,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"Y5NMS","113","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,22.528,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"Y5NMS","113","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,7.851,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
