"subject","condition","term","mode","q","response","question"
"D3LUH","121","spring18","lab-synch",16,"The lines that come out of 12 pm going to right and up is lines that have a shift start. 
Lines going up and to the left are shift ends.","Please describe how to determine what event(s) start at 12pm?"
"DM4T0","121","spring18","lab-synch",16,"Events that start at 12p.m are indicated by the black dots which symbolize beginning time. Simply locate the black dot that is vertical to the time ""12 PM.""","Please describe how to determine what event(s) start at 12pm?"
"67NP2","121","spring18","lab-synch",16,"Look at the x axis and go to the 12pm data value. Then find the valid corresponding durations for events that start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"8LK9M","121","spring18","lab-synch",16,"look at the vertical line going up from 12 pm mark on the horizontal axis","Please describe how to determine what event(s) start at 12pm?"
"OZV09","121","spring18","lab-synch",16,"Look at the points corresponding to 12 pm from the x-axis.","Please describe how to determine what event(s) start at 12pm?"
"T5SHZ","121","spring18","lab-synch",16,"From each shift (dot) you look at the triangle that forms under it. The first left line of the triangle tells you the shift start time and the right line of the triangle stemming from the dot tells you the shift end time. So to determine which shifts start at 12pm you look at the diagonal lines that slant towards the right from the 12 pm tick mark on the graph indicating the start time. You can follow the right-slanting diagonal line all the way through to see that shifts M and L start at 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"QOJ6L","121","spring18","lab-synch",16,"First find the point of 12PM on x-axis then trace the line towards the up-right direction of the 12PM point;the points lie on the line are the events we are looking for which is M and L.","Please describe how to determine what event(s) start at 12pm?"
"AFQCB","121","spring18","lab-synch",16,"I looked at which parts hard a circle lining up vertically from the 12 o'clock point on the x-axis. I had used the axis to help determine that the beginning times were the dots.","Please describe how to determine what event(s) start at 12pm?"
"G443Q","121","spring18","lab-synch",16,"To determine this I go up vertically to find the points at 12 pm from the x-axis","Please describe how to determine what event(s) start at 12pm?"
"1SY41","121","fall21","asynch",16,"On the X axis of the graph the start of a shift is marked by the left side of a triangle formed by the 2 lines that emerge below each shift's dot on the graph","Please describe how to determine what event(s) start at 12pm?"
"LNVKO","111","fall21","asynch",16,"look at 12pm on x axis and follow line going up and to the right. Everything on that line starts at 12pm","Please describe how to determine what event(s) start at 12pm?"
"OUCFL","121","fall21","asynch",16,"To determine what events start at 12 PM you go to the x axis that says 12 PM and you look at the right and left branches it has. This tells us that M and L both start at 12 PM even though they have different shift durations","Please describe how to determine what event(s) start at 12pm?"
"KT7ZF","121","fall21","asynch",16,"I pick the letter closest to 12 PM on the graph","Please describe how to determine what event(s) start at 12pm?"
"WWMDF","111","fall21","asynch",16,"LooLook at the X axis to where 12 pm is and then go up the y axis to determine which dots are marked.","Please describe how to determine what event(s) start at 12pm?"
"ACEXT","121","fall21","asynch",16,"look at the dot and subtract the hours on the left by the time on the bottom","Please describe how to determine what event(s) start at 12pm?"
"ALN2P","121","fall21","asynch",16,"Look at the X-axis for the dots corresponding with the time at 12","Please describe how to determine what event(s) start at 12pm?"
"TD0NU","111","fall21","asynch",16,"You can determine what event(s) start at 12pm by first looking at the times at the bottom of the chart. From there you can go upward from 12 and see what dots align.","Please describe how to determine what event(s) start at 12pm?"
"Q7A44","121","fall21","asynch",16,"I find 12pm on the horizontal axis and then follow the line that extends from 12pm to the upper right corner of the graph. In this case M and L start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"5TMTW","121","fall21","asynch",16,"Find 12 PM on the x-axis. Trace a vertical line upwards from the 12 PM on the x-axis. All the points on that line begin at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"QOR74","121","fall21","asynch",16,"Drawing a line straight up from the x axis and the given time","Please describe how to determine what event(s) start at 12pm?"
"431GR","111","fall21","asynch",16,"Which events start at the line angles up to the right at the number 12 on the x-axis start at 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"HUNJ8","121","fall21","asynch",16,"draw a vertical line up from 12PM","Please describe how to determine what event(s) start at 12pm?"
"SGTQJ","111","fall21","asynch",16,"The shifts that line up above 12pm on the x axis","Please describe how to determine what event(s) start at 12pm?"
"QVWU9","121","fall21","asynch",16,"look at the 12 pm dash and look up","Please describe how to determine what event(s) start at 12pm?"
"YAZM5","121","fall21","asynch",16,"To find what event(s) start at 12pm find it on the x-axis where time of day is located and follow the line in the diagram all the way up. You will find that M and L start at 12 but end at different times.","Please describe how to determine what event(s) start at 12pm?"
"ZL796","111","fall21","asynch",16,"At 12 pm B and F start shifts and J ends their shift.","Please describe how to determine what event(s) start at 12pm?"
"P83KE","121","fall21","asynch",16,"SShifts B and G start at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"57KJC","121","fall21","asynch",16,"find 12 on the bottom and then climb diagonally to the right so the shifts starting at 12 would be M and L","Please describe how to determine what event(s) start at 12pm?"
"8DL90","121","fall21","asynch",16,"follow the 12 pm line that goes up towards the right. any points on that line starts at 12","Please describe how to determine what event(s) start at 12pm?"
"YK2A6","111","fall21","asynch",16,"vertical dots
","Please describe how to determine what event(s) start at 12pm?"
"ECJQV","121","fall21","asynch",16,"I Look at the line and go up to see which aligns with the 12 pm mark","Please describe how to determine what event(s) start at 12pm?"
"LS93R","121","fall21","asynch",16,"Look at the x axis","Please describe how to determine what event(s) start at 12pm?"
"0YVPY","121","fall21","asynch",16,"yyou have to look at the x axis of this graph and find where 12pm is. then you follow that point up the diagonal line until you hit a letter or letters. thoes letters or letter are the shifts or shift that starts at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"QNNZZ","121","fall21","asynch",16,"draw a vertical line from the 12 pm point and look at which events have start points that intersect with the line. In this case B and F.
","Please describe how to determine what event(s) start at 12pm?"
"K3AE8","121","fall21","asynch",16,"use the graph find 12 on the x axis and go up","Please describe how to determine what event(s) start at 12pm?"
"A9JCU","111","fall21","asynch",16,"loolook at 12 pm on the x axis then move in a straight line upwards until coming to a dot","Please describe how to determine what event(s) start at 12pm?"
"BR500","121","fall21","asynch",16,"I look at the x axis go to the 12pm time and move up the graph.","Please describe how to determine what event(s) start at 12pm?"
"OFOB1","111","fall21","asynch",16,"Shifts that start at 12pm are along the line that goes to the right starting from 12pm meaning that M and L start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"B44PE","121","fall21","asynch",16,"if the left line of the dot begins at 12pm","Please describe how to determine what event(s) start at 12pm?"
"96GEP","121","fall21","asynch",16,"Look Look at the graph where it says 12p and then look at the line to the right to see which shifts start are 12pm.","Please describe how to determine what event(s) start at 12pm?"
"VP6G3","121","fall21","asynch",16,"You look at B and F see they are parallel points to 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"98VDX","121","fall21","asynch",16,"You look at 12 pm on the x axis and look at the number above it that occur along the same line on the y axis.","Please describe how to determine what event(s) start at 12pm?"
"8MT4O","121","fall21","asynch",16,"Looking for the letters on the graph that have lined up with 12pm (F and B)","Please describe how to determine what event(s) start at 12pm?"
"E9SDE","121","fall21","asynch",16,"I ignore the diagonal lines and look straight above to see which events are along the 12pm vertical line","Please describe how to determine what event(s) start at 12pm?"
"K9UQH","121","fall21","asynch",16,"Whichever letters align with 12pm right above the horizontal axis (B and F in this case based on my interpretation of the graph).","Please describe how to determine what event(s) start at 12pm?"
"LAZ3T","111","fall21","asynch",16,"Follow the line going up and to the right (diagonally) from the 12pm point on the x-axis. The points that fall on this line are shifts that start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"EZ7J5","111","fall21","asynch",16,"Look at what points match the point of 12 pm based on the X-axis.","Please describe how to determine what event(s) start at 12pm?"
"WYZCU","111","fall21","asynch",16,"Look at the bottom where time of day is and find 12pm. Afterwards look up to see which dots are aligned with 12pm","Please describe how to determine what event(s) start at 12pm?"
"WB4HC","111","fall21","asynch",16,"Vertical axis","Please describe how to determine what event(s) start at 12pm?"
"OE3DT","121","fall21","asynch",16,"The left line moving up and to the right indicate the start time of shifts so by finding the coordinating point and left line at 12pm you can find what shifts start at that time","Please describe how to determine what event(s) start at 12pm?"
"1QMGP","121","fall21","asynch",16,"Oh no i read the x axis wrong 12pm is the vertex of the diamond part of the graph not the one before. From there you go up the y axis","Please describe how to determine what event(s) start at 12pm?"
"Z461O","111","fall21","asynch",16,"Look Look at x axis and see which letter starts there/ has a point","Please describe how to determine what event(s) start at 12pm?"
"E6KMK","111","fall21","asynch",16,"Look at the x axis (start and end time (time of day) go to 12pm on that axis scan up and you will located the two shifts that start at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"0F1A8","111","fall21","asynch",16,"12 pm on the x-axis going up are the shifts that start at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"9S5Z0","111","fall21","asynch",16,"F & B start at 12 because the dots are aligned with 12pm","Please describe how to determine what event(s) start at 12pm?"
"ARCSZ","121","fall21","asynch",16,"look at 12pm","Please describe how to determine what event(s) start at 12pm?"
"F86ZM","111","fall21","asynch",16,"LookI looked at X-axis and look for 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"0LCME","121","fall21","asynch",16,"look at all of the points that fall within 12pm on the x-axis","Please describe how to determine what event(s) start at 12pm?"
"UN6MT","111","fall21","asynch",16,"Go to the x-axis and find 12 PM then follow a vertical line up and any shifts along that line start then.","Please describe how to determine what event(s) start at 12pm?"
"CHP0K","121","fall21","asynch",16,"The line that starts at 12 that is diagonally shooting to the right starting from the 12 point any dots on that line start at 12. Its hard to describe how I determined it.","Please describe how to determine what event(s) start at 12pm?"
"KNH2B","111","fall21","asynch",16,"Draw a vertical line up from the 12PM label on the x axis and any dots that fall on that line are events that begin at 12PM.","Please describe how to determine what event(s) start at 12pm?"
"XOZJ7","111","fall21","asynch",16,NA,"Please describe how to determine what event(s) start at 12pm?"
"Y7EP3","121","fall21","asynch",16,"tthe black dots above it","Please describe how to determine what event(s) start at 12pm?"
"776UX","111","fall21","asynch",16,"LooLook at the time and see if ppl are 4 hrs ahead on time or behind 12pm","Please describe how to determine what event(s) start at 12pm?"
"XCK4Q","111","fall21","asynch",16,"look at the x axis and see which dots are at the 12pm mark","Please describe how to determine what event(s) start at 12pm?"
"57C0V","121","fall21","asynch",16,"look at the x axis for 12pm and then go up to see what letters are plotted there.","Please describe how to determine what event(s) start at 12pm?"
"NV47T","121","fall21","asynch",16,"II go to the x-coordinate where it says 12PM. Anything directly above that would the shifts that start at 12PM.","Please describe how to determine what event(s) start at 12pm?"
"XKX1V","121","fall21","asynch",16,"dots aligning the time","Please describe how to determine what event(s) start at 12pm?"
"F4XPD","111","fall21","asynch",16,"Look at the x-axis where it indicates the time and anything on the line where x =  12 will indicate events starting.","Please describe how to determine what event(s) start at 12pm?"
"CLV1E","121","fall21","asynch",16,"To determine what events begin at 12pm. I look first at the x-axis at the number 12 then go up and left on the line to see that both M and L start their shifts at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"BYKF0","111","fall21","asynch",16,"look look at the x axis and find 12 pm. dots directly above 12 pm start at 12.","Please describe how to determine what event(s) start at 12pm?"
"OHLRP","111","fall21","asynch",16,"m","Please describe how to determine what event(s) start at 12pm?"
"K7HSV","121","fall21","asynch",16,"Wherever the dot is placed is what I assume the event starts.","Please describe how to determine what event(s) start at 12pm?"
"BK0TH","111","fall21","asynch",16,"Trace up from the 12pm mark and mark all the shifts on the line.","Please describe how to determine what event(s) start at 12pm?"
"SV1K5","111","fall21","asynch",16,"The bullet points that are directly above 12 pm are the ones that start at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"9EYZ0","121","fall21","asynch",16,"You find 12pm on the x-axis and look to the line that goes to the left diagnoally or look straight up from 12pm on the x-axis.","Please describe how to determine what event(s) start at 12pm?"
"0EMZW","121","fall21","asynch",16,"Well you start by locating 12 pm and then any event(s) that are found on the upwards line from it are included... So M nad L are events that start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"KEMWH","111","fall21","asynch",16,"we look at the x-axis at 12 and if there is a dot at 12 that is the start of a shift","Please describe how to determine what event(s) start at 12pm?"
"TBQB2","121","fall21","asynch",16,"All points along the right diagonal line originating from the 12 PM tick mark on the horizontal axis","Please describe how to determine what event(s) start at 12pm?"
"MM806","121","fall21","asynch",16,"GoGoGo to the x axis and find the 12 pm indicator. Go up from there and the dots that fall on that are the shifts that start at 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"S0WU7","121","fall21","asynch",16,"Start at 12 on the x-axis and follow the positive slope to the right","Please describe how to determine what event(s) start at 12pm?"
"Y0MZ6","111","fall21","asynch",16,"Whichever dots aligns with 12pm on the x-axis","Please describe how to determine what event(s) start at 12pm?"
"8V8HJ","111","fall21","asynch",16,"look at the 12pm n the x axis and then follow that all the way up. Whichever shifts overlap are the ones that start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"4URRL","121","fall21","asynch",16,"It is determined by the x-axis and which letters sit above the 12pm time.","Please describe how to determine what event(s) start at 12pm?"
"8BB1M","111","fall21","asynch",16,"you You look at the X-axis and find 12 pm. Then find whatever dot lines up vertically in that time row.","Please describe how to determine what event(s) start at 12pm?"
"WRHPM","121","fall21","asynch",16,"The point will have a line approaching from the right. This line represents the amount of time that has passed since beginning the shift. Following this line to zero provides you with the time the shift started. Reverse engineer this process to find which events start at 12 pm (follow the line as it goes to the right).","Please describe how to determine what event(s) start at 12pm?"
"77SKE","111","fall21","asynch",16,"Look at 12 pm on the x axis and draw an imaginary line up to see what dots occur at 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"K7HM9","111","fall21","asynch",16,"Starting at the 12pm marker on the x-axis and going up-right using the diagonal line. Going up this diagonal line there are the shifts M and L","Please describe how to determine what event(s) start at 12pm?"
"EMKFA","121","fall21","asynch",16,"look for 12pm on the graph and see what points fall on that line/triange.","Please describe how to determine what event(s) start at 12pm?"
"S8NY4","111","fall21","asynch",16,"The points above 12 pm","Please describe how to determine what event(s) start at 12pm?"
"YAFMA","121","fall21","asynch",16,"Shifts B and F start at 12pm because that is the x axis","Please describe how to determine what event(s) start at 12pm?"
"PQA54","111","fall21","asynch",16,"look at x axis and find 12pm then follow straight up","Please describe how to determine what event(s) start at 12pm?"
"194UU","111","fall21","asynch",16,"You can tell by reading the x-axis of the graph which would happen to be the Start and End Time of each shift stated in 1 hour intervals of the day starting at 8am all the way to 8pm
","Please describe how to determine what event(s) start at 12pm?"
"FDRWD","111","fall21","asynch",16,"TO determine what shifts start at 12pm you need to find 12pm on the X-axis and see if there are any points straight above it(you must only go straight up from the point on the axis as if you were following a perpendicular line at that point).","Please describe how to determine what event(s) start at 12pm?"
"U820R","111","fall21","asynch",16,"Look at the x-axis the bottom of the graph and look for a dot that corresponds with ""12pm""","Please describe how to determine what event(s) start at 12pm?"
"UH8DS","121","fall21","asynch",16,"start at the 12pm mark and move up","Please describe how to determine what event(s) start at 12pm?"
"UQTQ6","111","fall21","asynch",16,"I look over to the x axis to determine which events start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"PJYUH","121","fall21","asynch",16,"Find 12pm on the x-axis then move all the way up the diagonal line that moves up and to the right. List every dot (event) you hit on the way to the end of the line. This gives you M and L that start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"60VNG","121","fall21","asynch",16,"look at x axis where 12pm is and look where the plots are pointed on the y axis","Please describe how to determine what event(s) start at 12pm?"
"EA6YH","111","fall21","asynch",16,"Look at the letters that correspond to 12 pm on the x-axis.","Please describe how to determine what event(s) start at 12pm?"
"UO0XA","121","fall21","asynch",16,"Every points above the 12pm sign","Please describe how to determine what event(s) start at 12pm?"
"6VLV8","121","fall21","asynch",16,"Look at the x-axis and see what dots are in a line with 12 pm. that means draw a vertical line up 12 and see what dots are in that line","Please describe how to determine what event(s) start at 12pm?"
"KPZTN","121","fall21","asynch",16,"LL.   look at the x axis for time look at y axis for which shift","Please describe how to determine what event(s) start at 12pm?"
"W8QQ3","121","fall21","asynch",16,"Events that start at 12 are on the positive slope that crosses through 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"7BV0L","111","fall21","asynch",16,"B and F start J ends","Please describe how to determine what event(s) start at 12pm?"
"K5PDZ","111","fall21","asynch",16,"Begin at point marked 12 PM at the bottom and move diagonally up and to the right. Any shift the line intersects begins at that time.","Please describe how to determine what event(s) start at 12pm?"
"GB4TH","111","fall21","asynch",16,"whichever dots are on the line that corresponds with 12pm","Please describe how to determine what event(s) start at 12pm?"
"X8P7E","111","fall21","asynch",16,"I look at the x-axis and see the 12pm mark and ID all the points that fall on x = 12pm","Please describe how to determine what event(s) start at 12pm?"
"DGJQ3","111","fall21","asynch",16,"look at the lines connecting the dots","Please describe how to determine what event(s) start at 12pm?"
"N34B6","111","fall21","asynch",16,"any points along the positively increasing line that begins at (12pm 0) started at 12pm","Please describe how to determine what event(s) start at 12pm?"
"02DBM","121","fall21","asynch",16,"Shifts M and L plus Shift B and F's coffee breaks start at 12 PM.","Please describe how to determine what event(s) start at 12pm?"
"7DJGJ","121","fall21","asynch",16,"y axisy axis","Please describe how to determine what event(s) start at 12pm?"
"2CZP7","111","fall21","asynch",16,"You look at where the number 12pm is on the chart then you go up to see what letters line up with 12pm. In this case that is F and B.","Please describe how to determine what event(s) start at 12pm?"
"YJN2B","121","fall21","asynch",16,"If their are dots ontop of the number 12","Please describe how to determine what event(s) start at 12pm?"
"VRHYF","111","fall21","asynch",16,"I would look at the x-axis and look at all the values that fall on the 12pm measurement.","Please describe how to determine what event(s) start at 12pm?"
"694WT","111","fall21","asynch",16,"figure out the start time of 12 pm (look at the point and see if it has points on 12 pm axis. Calculate the start time break and end time of each shift.","Please describe how to determine what event(s) start at 12pm?"
"QADB9","111","fall21","asynch",16,"ToTo dTo To determine what event(s) start at 12 pm you look at the bottom and look where 12 pm is. Then you go follow the line starting where 12 pm all the way to tthe top to see what event(s) start during that time.","Please describe how to determine what event(s) start at 12pm?"
"PRA08","121","fall21","asynch",16,"a point that is along the axis where 12pm is means that's when the event starts.","Please describe how to determine what event(s) start at 12pm?"
"KXRFL","111","fall21","asynch",16,"You look at x axis too look at time then find 12pm and look up the column to see what dots are plotted along 12pm","Please describe how to determine what event(s) start at 12pm?"
"LPY8N","111","fall21","asynch",16,"F and B start at 12pm because on the x axis of the graph it tells you that those are the start and end times and there are shifts B and F at those times.","Please describe how to determine what event(s) start at 12pm?"
"5P3XF","121","fall21","asynch",16,"You see the mark of 12pm in the x axis and then follow the diagonal line to the right and see all of the points plotted in that line.","Please describe how to determine what event(s) start at 12pm?"
"AU0MW","121","fall21","asynch",16,"MEntally trace a straight line starting at the 12 pm point going straight up","Please describe how to determine what event(s) start at 12pm?"
"HCGNQ","121","fall21","asynch",16,"You look at how long the shift is and then go to the 12 pm on the x-axis","Please describe how to determine what event(s) start at 12pm?"
"STJP3","111","fall21","asynch",16,"find the dots that are in line with 12pm on the x axis
","Please describe how to determine what event(s) start at 12pm?"
"GY85V","111","fall21","asynch",16,"look at what dots are above the 12 pm tick mark","Please describe how to determine what event(s) start at 12pm?"
"3PADQ","111","fall21","asynch",16,"ook down a the x-axis or the start and end time axis and find 12p and then move up the graph in line with 12p and see what shift starts there","Please describe how to determine what event(s) start at 12pm?"
"240Y4","121","fall21","asynch",16,"You go to 12pm on x axis ignore the triangular lines and go straight up. Then you will fine B and F on 12pm.","Please describe how to determine what event(s) start at 12pm?"
"3SYRX","121","fall21","asynch",16,"FikDFollow the line that has a positive slope from the 12pm point on the x-axis","Please describe how to determine what event(s) start at 12pm?"
"PFFEV","111","fall21","asynch",16,"look at the x axis find the 12pm spot and look to see if any dots are on that line","Please describe how to determine what event(s) start at 12pm?"
"NH0FO","121","fall21","asynch",16,"Find 12 PM on the X-axis and follow the line up to the right.","Please describe how to determine what event(s) start at 12pm?"
"XG38D","111","fall21","asynch",16,"Looking at the X axis find 12 PM and following up in a straight line see what dots fall on that straight line (in this case F and B)","Please describe how to determine what event(s) start at 12pm?"
"N36VM","121","fall21","asynch",16,"Choose a point that is diagonal to the x-axis of 12","Please describe how to determine what event(s) start at 12pm?"
"7METL","111","fall21","asynch",16,"By looking at which plot points align with 12pm on the y axis","Please describe how to determine what event(s) start at 12pm?"
"XV7KZ","111","fall21","asynch",16,"You would use the x-axis label ID 12pm and see which ones fall on that point","Please describe how to determine what event(s) start at 12pm?"
"YUWCZ","111","fall21","asynch",16,"The starting point is on the left side of each number. Therefore events M and L begin at 12pm","Please describe how to determine what event(s) start at 12pm?"
"CN995","121","fall21","asynch",16,"You start at the diagonal line connected to 12Pm on the horizontal axis and follow it up and to the right and whatever points that line intersects with is a shift that starts at 12 pm. It would be M and L","Please describe how to determine what event(s) start at 12pm?"
"98R7E","111","fall21","asynch",16,"the horizontal line pointing towards the right that begins at 12pm and end at 8 hours is the line where all the shifts that begin at 12 can be found.","Please describe how to determine what event(s) start at 12pm?"
"ZZNSP","111","fall21","asynch",16,"Just look at which dots that show on the 12 pm axis","Please describe how to determine what event(s) start at 12pm?"
"PY424","111","fall21","asynch",16,"Look at the x-axis and go to 12 then go up and see which letters are on that grid \.","Please describe how to determine what event(s) start at 12pm?"
"N5NRY","111","fall21","asynch",16,"the point where lines with a positive slope begin represent start time. If you go to 12 pm and follow the line with a positive slope you will find that M and L start at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"QXNXR","121","fall21","asynch",16,"Start at the 12pm mark on the x-axis and follow the diagonal line that is going up and to the right. All of the points that are on that diagonal line are events that start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"MAJW8","121","fall21","asynch",16,"find 12 pm on the graph then follow the line pointing to the right all dots along that line start at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"DMUWM","111","fall21","asynch",16,"To see if there are any spots on the top of the 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"SG6TQ","111","fall21","asynch",16,"Look at the x-axis and count up from 12 PM on the axis.","Please describe how to determine what event(s) start at 12pm?"
"1JW7Y","121","fall21","asynch",16,"Looking at the duration and adding onto the time of the start of a shift.","Please describe how to determine what event(s) start at 12pm?"
"ARL8H","121","fall21","asynch",16,"The dot under the column of 12 PM determines when the event starts","Please describe how to determine what event(s) start at 12pm?"
"M9WY5","111","fall21","asynch",16,"Look at the x axis to see the time of day look at 12pm and then see which letters line up","Please describe how to determine what event(s) start at 12pm?"
