"subject","condition","pretty_condition","term","mode","question","q","answer","correct","rt_s","response","num_o","score_TRI","score_ORTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_BOTH","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","score_SCALED","score_STATE"
"EUUV1","11115","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"D ,E ",FALSE,10.412,"  DE",4,-0.142857142857143,-0.166666666666667,NA,NA,-0.153846153846154,-0.142857142857143,-0.142857142857143,NA,0,0,0,0,-0.142857142857143,"score_TV_start",NA,NA,-0.142857142857143,"score_TRI",0.0238095238095238,"?","?","neg.trans",-0.5,"unknown"
"EUUV1","11115","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O ",FALSE,24.027," O",2,1,-0.0769230769230769,NA,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0,0,1,-0.0769230769230769,"score_TV_start",NA,NA,1,"score_TRI",1.07692307692308,"Triangular","Triangular","triangular",1,"tri-like"
"EUUV1","11115","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,23.052,"  EG",4,1,1,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"EUUV1","11115","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,6.616,"  BF",4,-0.125,1,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"EUUV1","11115","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,22.788," E",2,-0.0666666666666667,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"EUUV1","11115","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,10.151," I",2,1,1,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"EUUV1","11115","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,28.404," X",2,-0.0625,1,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"EUUV1","11115","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,5.403,"  BF",4,-0.125,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"EUUV1","11115","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,2.645," B",2,-0.0625,1,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"EUUV1","11115","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"E ,X ",FALSE,27.807,"  EX",4,0.433333333333333,0.433333333333333,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0.433333333333333,"score_TRI",0,"?","?","neg.trans",-0.5,"unknown"
"EUUV1","11115","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,13.692," B",2,-0.0588235294117647,1,NA,NA,-0.0714285714285714,NA,-0.0588235294117647,-0.0666666666666667,0,0,0,0,-0.0588235294117647,"score_TV_end",NA,NA,1,"score_ORTH",1.05882352941176,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"EUUV1","11115","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ",FALSE,33.29," E",2,-0.0625,0.5,NA,NA,-0.0666666666666667,-0.0588235294117647,NA,NA,0,0,0,0,-0.0588235294117647,"score_TV_start",NA,NA,0.5,"score_ORTH",0.5625,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,28.217," A",2,-0.0769230769230769,1,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,9.216," E",2,-0.0833333333333333,1,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,14.902," Z",2,0,1,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,14.979," U",2,-0.0714285714285714,1,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U ",FALSE,88.458," U",2,-0.0909090909090909,1,NA,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0,0,0,0.5,"score_TV_end",NA,NA,1,"score_ORTH",1.09090909090909,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,16.637,"  EG",4,1,1,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"9DK63","11115","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,42.863,"  BF",4,-0.125,1,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,39.635," E",2,-0.0666666666666667,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,19.593," I",2,1,1,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"9DK63","11115","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,15.437," X",2,-0.0625,1,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,8.088,"  BF",4,-0.125,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,5.087," B",2,-0.0625,1,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,25.987,"  FX",4,0.433333333333333,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",0.566666666666667,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,33.02," B",2,-0.0588235294117647,1,NA,NA,-0.0714285714285714,NA,-0.0588235294117647,-0.0666666666666667,0,0,0,0,-0.0588235294117647,"score_TV_end",NA,NA,1,"score_ORTH",1.05882352941176,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"9DK63","11115","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"F ",FALSE,121.45," F",2,-0.0625,0.5,NA,NA,-0.0666666666666667,-0.0588235294117647,NA,NA,0,0,0,0,-0.0588235294117647,"score_TV_start",NA,NA,0.5,"score_ORTH",0.5625,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"ZKG07","11115","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,15.302," A",2,-0.0769230769230769,1,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"ZKG07","11115","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,8.517," E",2,-0.0833333333333333,1,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"ZKG07","11115","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,15.181," Z",2,0,1,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"ZKG07","11115","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,27.815," U",2,-0.0714285714285714,1,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"ZKG07","11115","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O ",FALSE,20.617," O",2,1,-0.0769230769230769,NA,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0,0,1,-0.0769230769230769,"score_TV_start",NA,NA,1,"score_TRI",1.07692307692308,"Triangular","Triangular","triangular",1,"tri-like"
"ZKG07","11115","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,6.199,"  EG",4,1,1,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"ZKG07","11115","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"I ,J ",FALSE,71.506,"  IJ",4,-0.125,-0.133333333333333,NA,NA,0.25,-0.125,0.5,-0.125,0,0,0,0,0.5,"score_TV_end",NA,NA,0.5,"score_TVERSKY",0.633333333333333,"Tversky","Tversky","pos.trans",0.5,"tri-like"
"ZKG07","11115","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,38.215," E",2,-0.0666666666666667,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"ZKG07","11115","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,11.923," I",2,1,1,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"ZKG07","11115","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"E ",FALSE,6.562," E",2,1,-0.0625,NA,NA,0.333333333333333,-0.0625,1,-0.0625,0,0,0,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular",1,"tri-like"
"ZKG07","11115","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"L ,M ",FALSE,6.863,"  LM",4,1,-0.125,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,1,"score_TRI",1.125,"Triangular","Triangular","triangular",1,"tri-like"
"ZKG07","11115","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"G ",FALSE,9.319," G",2,1,-0.0625,NA,NA,0.5,1,NA,-0.0625,0,0,0,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular",1,"tri-like"
"ZKG07","11115","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"E ,F ",FALSE,24.696,"  EF",4,1,0.433333333333333,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,1,"score_TRI",0.566666666666667,"Triangular","Triangular","triangular",1,"tri-like"
"ZKG07","11115","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"X ",FALSE,7.438," X",2,1,-0.0588235294117647,NA,NA,0.25,NA,1,-0.0666666666666667,0,0,0,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.05882352941176,"Triangular","Triangular","triangular",1,"tri-like"
"ZKG07","11115","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"K ,X ",FALSE,16.2,"  KX",4,1,-0.133333333333333,NA,NA,0.666666666666667,-0.117647058823529,NA,NA,0,0,0,1,0.666666666666667,"score_TV_max",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular",1,"tri-like"
"VPBE4","11115","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,21.179," A",2,-0.0769230769230769,1,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"VPBE4","11115","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,14.023," E",2,-0.0833333333333333,1,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"VPBE4","11115","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,28.226," Z",2,0,1,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"VPBE4","11115","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,21.53," U",2,-0.0714285714285714,1,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"VPBE4","11115","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"J ",FALSE,100.742," J",2,-0.0909090909090909,-0.0769230769230769,NA,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0,0,0,-0.0769230769230769,"score_TV_start",NA,NA,-0.0769230769230769,"score_TVERSKY",0.013986013986014,"?","?","neg.trans",-0.5,"unknown"
"VPBE4","11115","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,7.596,"  EG",4,1,1,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"VPBE4","11115","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,10.035,"  BF",4,-0.125,1,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"VPBE4","11115","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,99.964," E",2,-0.0666666666666667,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"VPBE4","11115","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,15.121," I",2,1,1,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"VPBE4","11115","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,44.847," X",2,-0.0625,1,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"VPBE4","11115","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,8.818,"  BF",4,-0.125,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"VPBE4","11115","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,5.009," B",2,-0.0625,1,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"VPBE4","11115","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,29.356,"  FX",4,0.433333333333333,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,"score_ORTH",0.566666666666667,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"VPBE4","11115","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"",FALSE,47.754,"",0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,"score_TV_max",NA,NA,0,"score_TRI",0,"blank","blank","neutral",0,"unknown"
"VPBE4","11115","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"",FALSE,41.353,"",0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,"score_TV_max",NA,NA,0,"score_TRI",0,"blank","blank","neutral",0,"unknown"
"520AG","11115","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,9.502," A",2,-0.0769230769230769,1,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"520AG","11115","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,13.341," E",2,-0.0833333333333333,1,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"520AG","11115","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"A ",FALSE,7.259," A",2,-0.0833333333333333,-0.1,NA,NA,0.166666666666667,-0.0833333333333333,-0.0833333333333333,0.333333333333333,0,0,0,0,0.333333333333333,"score_TV_duration",NA,NA,0.333333333333333,"score_TVERSKY",0.433333333333333,"?","?","neg.trans",-0.5,"unknown"
"520AG","11115","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,127.742," U",2,-0.0714285714285714,1,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
